OTU	C_01_L	C_02_D	C_03_D	C_04_D	C_05_L	C_06_D	C_07_L	C_08_L	C_09_D	C_10_D	C_11_L	C_12_D	C_13_L	C_14_L	C_15_D	C_16_L	C_17_L	C_18_D	C_19_D	C_20_D	C_21_D	C_22_L	C_23_L	C_24_D	C_25_L	C_26_L	F_01_L	F_02_D	F_03_D	F_04_D	F_05_L	F_06_D	F_07_L	F_08_L	F_09_D	F_10_D	F_11_L	F_12_D	F_13_L	F_14_L	F_15_D	F_16_L	F_17_L	F_18_D	F_19_D	F_20_D	F_21_D	F_22_L	F_23_L	F_24_D	F_25_L	F_26_L	S_01_L	S_02_D	S_03_D	S_04_D	S_05_L	S_06_D	S_07_L	S_08_L	S_09_D	S_10_D	S_11_L	S_12_D	S_13_L	S_14_L	S_15_D	S_16_L	S_17_L	S_18_D	S_19_D	S_20_D	S_21_D	S_22_L	S_23_L	S_24_D	S_25_L	S_26_L
DENOVO35	0	0	0	26	0	0	0	0	0	31	0	0	0	0	0	0	0	0	71	78	1	0	462	0	0	5	2529	1	275	391	92	3154	161	0	3	0	144	2270	0	9	7003	146	2	459	0	222	31	22	2	0	9	2749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DENOVO36	11	72	0	57	21	2	4	191	0	39	0	0	5	13	56	91	0	146	11	49	35	102	226	0	565	333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	113	1275	3855	422	827	1511	107	662	844	454	75	543	1490	94	988	999	1814	274	790	2	0	77	330	1521	855
DENOVO37	1	0	1	40	0	0	10	0	0	0	0	0	6	4	0	0	0	1	24	25	0	172	0	0	0	0	5	281	517	877	21	1129	270	596	2	779	0	7917	231	196	4	2	3832	1493	976	8	4	580	404	1	209	185	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DENOVO38	0	471	204	106	78	49	60	77	75	557	1	29	102	102	364	346	1302	1052	279	128	290	792	553	0	420	33	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	2	0	0	0	5	9	1	9	0	0	43	350	216	1327	218	1283	94	57	46	162	1559	111	57	75	925	265	423	724	192	1007	599	509	2076	478	160	216
DENOVO39	8	101	1096	780	2477	42	257	2072	1165	113	0	152	982	473	99	395	0	80	241	117	331	1489	5863	0	413	25	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	3	0	0	0	12	12	8	5	3	0	0	0	0	32	86	0	7	1	0	1	0	0	0	0	0	0	1	119	97	1	3	1	4	18	0	0	13
DENOVO40	14	68	359	0	0	2	251	12	1	1	0	38	38	18	0	118	0	0	103	162	0	0	0	0	39	0	1	0	3158	0	1	1	217	3096	2	0	6724	0	300	3446	0	168	1446	554	26	1151	543	28	0	0	2445	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
DENOVO41	67	454	444	189	30	17	69	44	211	24	0	1	12	0	0	19	0	0	241	291	106	0	1	3	31	551	0	7	68	35	149	28	271	23	460	1151	1	13	37	18	36	140	274	3077	81	18	809	864	412	762	373	8925	0	0	3	6	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
DENOVO42	0	26	5	0	1	0	28	0	0	0	48	0	0	0	0	0	0	0	13	49	0	0	215	0	0	20	0	0	0	0	0	0	1233	0	0	390	29	0	177	0	0	5365	0	765	2676	2	0	321	0	0	482	8186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
DENOVO43	0	436	15	34	46	0	124	32	26	96	0	0	117	116	195	181	259	149	41	48	309	402	295	1	716	606	0	3	15	0	1	9	2	1	9	12	17	1	12	11	13	6	8	15	5	1	12	85	21	7	37	3	3	470	1684	715	400	245	439	185	889	546	625	530	1066	1344	318	678	1308	698	1101	601	67	1199	109	488	484	1034
DENOVO44	9	61	181	94	6	0	111	9	0	10	0	0	4	4	0	0	0	5	803	994	0	0	39	0	33	0	1648	0	1192	865	135	11	24	296	0	286	1166	46	350	15	1059	804	137	163	0	280	60	24	7	1490	267	16	0	2	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0
