;FL2;FL4;FL10;FL12;GM100;GM101;GM102;GM103;GM104;GM105;GM106;GM107;GM108;GM109;GM110;GM111;GM112;GM113;GM114;GM115;GM116;GM117;GM118;GM120;GM121;GM122;GM123;GM124;GM125;GM126;GM127;GM128;GM129;GM130;GM131;GM132;GM133;GM134;GM135;GM136;GM137;GM49;GM50;GM51;GM52;GM53;GM54;GM55;GM56;GM57;GM58;GM59;GM60;GM61;GM62;GM63;GM64;GM65;GM66;GM67;GM68;GM69;GM70;GM71;GM72;GM73;GM75;GM76;GM77;GM78;GM79;GM80;GM81;GM82;GM83;GM84;GM85;GM86;GM87;GM88;GM89;GM90;GM91;GM92;GM93;GM94;GM95;GM96;GM97;GM98;GM99;Kingdom;Phylum;Class;Order;Family;Genus;Species
50ed158e978019f7bbdd9b4c569e325c;0;0;0;18;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;6;0;0;0;10;0;0;d__Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Comamonas;Ottowia_sp.
5abebbbc3cac29a1273ac47ecc457d8c;0;0;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;d__Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Comamonas;Ottowia_sp.
2e82ab04fca818a6e70d05b11934f397;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Comamonas;Ottowia_sp.
5b225e722e75349e0836e332c919fa50;0;0;0;0;0;0;0;0;2;0;0;0;2;5;0;4;0;0;0;0;3;7;51;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;9;4;0;0;0;0;0;0;15;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;103;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;5;0;0;d__Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Sutterellaceae;Parasutterella;uncultured_bacterium
b35cfa94d4e81917caaca37460911fc2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Sutterellaceae;Parasutterella;Burkholderiales_bacterium
385e3489ec7043dcc6907f312a5864a5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Sutterellaceae;Parasutterella;Turicimonas_muris
155b4eb67613327ecd400ea8315a5df3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Sutterellaceae;Parasutterella;NA
52f8676f2555f4853c4b27baa0840265;0;0;0;0;0;0;19;0;0;9;32;0;0;0;0;0;0;0;0;0;0;0;0;0;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Lautropia;uncultured_bacterium
036dd1772086f998870871e306a3edfe;0;21;0;19;0;0;0;0;0;0;0;0;0;0;7;0;22;117;57;29;36;101;0;45;0;0;0;0;44;0;302;49;30;0;0;0;575;0;15;238;32;0;0;0;0;0;0;132;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;95;0;0;0;0;0;0;0;0;36;0;0;0;0;0;47;333;0;0;d__Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Lautropia;uncultured_bacterium
93c38b26b428c8c5e369d2c22a798a3d;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;211;0;0;0;0;0;0;0;0;270;0;0;233;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;87;0;0;0;0;0;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Lautropia;NA
