;EN11;EN13;EN28;EN29;EN30;EN34;EN38;EN40;EN41;EN43;EN44;EN46;EN47;EN48;FL1;FL3;FL5;FL9;FL11;FL15;GM1;GM10;GM11;GM12;GM13;GM14;GM15;GM16;GM17;GM18;GM19;GM2;GM20;GM21;GM22;GM23;GM24;GM25;GM26;GM27;GM28;GM29;GM3;GM30;GM31;GM32;GM33;GM34;GM35;GM36;GM37;GM38;GM39;GM4;GM40;GM41;GM42;GM43;GM44;GM45;GM46;GM47;GM48;GM5;GM6;GM7;GM8;GM9;Kingdom;Phylum;Class;Order;Family;Genus;Species
ce676035093873a3ee0768fefd43f71c;0;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Verrucomicrobiota;Lentisphaeria;Victivallales;vadinBE97;vadinBE97;NA
c3b32703ac434d80f3a0be0cddcffd73;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Verrucomicrobiota;Lentisphaeria;Victivallales;vadinBE97;vadinBE97;uncultured_bacterium
780c89422edc5b68b835205f6da412e1;0;0;0;0;0;0;0;0;5;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Verrucomicrobiota;Lentisphaeria;Victivallales;vadinBE97;vadinBE97;NA
557345793424870291c7a02aab0bba6c;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;d__Bacteria;Verrucomicrobiota;Lentisphaeria;Oligosphaerales;Oligosphaeraceae;Z20;uncultured_bacterium
b82f747fe02f9a5e163a2fa72f7644ac;0;0;2;0;0;0;0;12;34;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Verrucomicrobiota;Lentisphaeria;Victivallales;Victivallaceae;Victivallis;Victivallales_bacterium
805873557d0583107e307739fe35b0b3;0;0;0;0;12;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Verrucomicrobiota;Lentisphaeria;Victivallales;Victivallaceae;Victivallaceae;uncultured_organism
a0d853521e663468282cd6b14f1d50bb;0;0;0;0;0;0;0;0;0;0;31;0;0;0;0;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Bacilli;Acholeplasmatales;Acholeplasmataceae;Anaeroplasma;uncultured_bacterium
789a4ace29efb4d75e801bed6f651460;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Bacilli;RF39;RF39;RF39;metagenome
eb4ed370d1c409873d748a39a46ca318;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Bacilli;RF39;RF39;RF39;metagenome
a47c29248b6feff40ecbbb81aa0fcebd;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Bacilli;RF39;RF39;RF39;uncultured_bacterium
