"";"AX1";"AX2";"AX3";"AX4";"AX7";"AX8";"AX9";"AX10";"AX11";"AX12";"AX13";"Kingdom";"Phylum";"Class";"Order";"Family";"Genus";"Species"
"218bda5237f50a9edccea556b27a5d0d";"0";"0";"0";"0";"0";"9";"0";"0";"4";"5";"0";"d__Bacteria";"Spirochaetota";"Leptospirae";"Leptospirales";"Leptospiraceae";"Leptonema";NA
"b48abbdb3aabfb756406519dd5981a8f";"0";"0";"0";"0";"0";"0";"0";"7";"2";"10";"0";"d__Bacteria";"Desulfobacterota";"Desulfobacteria";"Desulfobacterales";"Desulfosarcinaceae";"Desulfosalsimonas";NA
"ccf9055aadff14d7e5c8b4a7d9f972d7";"8";"21";"0";"0";"0";"0";"0";"0";"0";"0";"0";"d__Bacteria";"Proteobacteria";"Alphaproteobacteria";"Puniceispirillales";"uncultured";"uncultured";NA
"ffee0a8747822a197a3dd4e325576312";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"d__Bacteria";"Proteobacteria";"Alphaproteobacteria";"Defluviicoccales";"Defluviicoccaceae";"Defluviicoccus";NA
"f6969099aef62a5a22f622fb6f161177";"39";"102";"8";"12";"56";"90";"48";"25";"90";"30";"53";"d__Bacteria";"Proteobacteria";"Alphaproteobacteria";"Thalassobaculales";"uncultured";"uncultured";NA
"578667bac03cf1495ed36dfa2a2c9183";"0";"0";"13";"0";"57";"43";"0";"7";"0";"0";"0";"d__Bacteria";"Proteobacteria";"Alphaproteobacteria";"Paracaedibacterales";"Paracaedibacteraceae";"uncultured";NA
"e6e0560f2561d031826825453a4a151a";"0";"0";"84";"0";"17";"85";"3";"21";"10";"23";"45";"d__Bacteria";"Proteobacteria";"Alphaproteobacteria";"Paracaedibacterales";"Paracaedibacteraceae";NA;NA
"aa7426229ef8129cce3ac032675b09de";"42";"51";"326";"139";"192";"323";"244";"77";"258";"225";"141";"d__Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Beijerinckiaceae";"Salinarimonas";NA
"edef629d188d7443f752c72ff293fcd9";"102";"390";"42";"19";"0";"27";"0";"0";"0";"0";"0";"d__Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rickettsiales";"AB1";"AB1";NA
"bd6f3e4fbbda33979fcde2f651439706";"5";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"d__Bacteria";"Proteobacteria";"Alphaproteobacteria";"Sphingomonadales";"Sphingomonadaceae";NA;NA
"b89ed8edd9e794787edff417a4e2d6e9";"193";"136";"44";"0";"0";"0";"0";"0";"0";"0";"0";"d__Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rickettsiales";"Rickettsiales";"Candidatus_Jidaibacter";NA
