"";"N1";"N2";"N3";"N4";"N5";"N6";"N7";"N8";"N9";"N10";"N11";"N12";"S1";"S2";"S3";"S4";"S5";"S6";"S7";"S8";"S9";"S10";"S11";"S12";"S13";"S14";"S15";"S16";"S17";"S18";"S19";"S20";"S21";"S22";"Kingdom";"Phylum";"Class";"Order";"Family";"Genus";"Species"
"444561f1f9cda1108f50b365ef9e9179";"12";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"d__Bacteria";"Chloroflexi";"N9D0";"N9D0";"N9D0";"N9D0";NA
"51b934033518abe653dd4fc58dea5797";"294";"92";"104";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"5";"0";"0";"0";"0";"0";"d__Bacteria";"Chloroflexi";"OLB14";"OLB14";"OLB14";"OLB14";NA
"e1d830281ca7432058c31e4e3dbb7b2f";"96";"34";"15";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"d__Bacteria";"Chloroflexi";"Dehalococcoidia";"S085";"S085";"S085";NA
"01ae4385b59183593d0b3b027ed22ab9";"134";"28";"46";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"d__Bacteria";"Chloroflexi";"JG30-KF-CM66";"JG30-KF-CM66";"JG30-KF-CM66";"JG30-KF-CM66";NA
"9eeea9aa04ce8bc18db9a35721d8281b";"19";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"d__Bacteria";"Chloroflexi";"Chloroflexia";"Thermomicrobiales";"Thermomicrobiaceae";"Nitrolancea";NA
"c8283c8fde5671307a4a30ad65fa7dc2";"3746";"1817";"1804";"43";"100";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"d__Bacteria";"Chloroflexi";"Chloroflexia";"Thermomicrobiales";"AKYG1722";"AKYG1722";NA
"2f75eeda30194d5a86acf4d692bfe1a4";"4617";"2041";"3116";"552";"929";"44";"35";"0";"0";"0";"0";"0";"0";"0";"3";"0";"3";"0";"4";"0";"0";"0";"2";"3";"0";"6";"13";"25";"10";"17";"16";"12";"10";"25";"d__Bacteria";"Chloroflexi";"Chloroflexia";"Thermomicrobiales";"JG30-KF-CM45";"JG30-KF-CM45";NA
"abc7337969e22f241588f94bf06ddce2";"76";"13";"24";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"d__Bacteria";"Chloroflexi";"Gitt-GS-136";"Gitt-GS-136";"Gitt-GS-136";"Gitt-GS-136";NA
"56f28d63852bf2fd53c18f958b378b6b";"14";"0";"10";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"d__Bacteria";"Chloroflexi";"KD4-96";"KD4-96";"KD4-96";"KD4-96";NA
"eb6f8a57c7cd1a444a7b13ee659eca9a";"31";"21";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"8";"4";"8";"0";"2";"d__Bacteria";"Acidobacteriota";"Acidobacteriae";"PAUC26f";"PAUC26f";"PAUC26f";NA
"ca71f289862427ce343c8001d088ab31";"16";"2";"0";"0";"0";"5";"8";"15";"65";"56";"172";"50";"33";"20";"32";"23";"9";"24";"31";"47";"44";"82";"66";"65";"0";"156";"196";"165";"93";"197";"136";"137";"63";"97";"d__Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriae";"Acidobacteriae";"Paludibaculum";NA
"913394ee530dca49bf41aaf49a799c42";"0";"0";"0";"51";"15";"16";"8";"0";"4";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"d__Bacteria";"Acidobacteriota";"Acidobacteriae";"Bryobacterales";"Bryobacteraceae";"Bryobacter";NA
"501e800038f5570e2a9b0b8ef481aa32";"14";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"d__Bacteria";"Acidobacteriota";"Acidobacteriae";"Solibacterales";"Solibacteraceae";"Candidatus_Solibacter";NA
"eab9022c72215f492029f155e72d0966";"20";"3";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"d__Bacteria";"Abditibacteriota";"Abditibacteria";"Abditibacteriales";"Abditibacteriaceae";"Abditibacterium";NA
"fbff3e242d0444576eefc7b4fb395f6c";"0";"0";"0";"14";"43";"0";"0";"0";"0";"0";"0";"0";"45";"35";"18";"12";"31";"4";"10";"8";"15";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"d__Bacteria";"Desulfobacterota";"Desulfovibrionia";"Desulfovibrionales";"Desulfovibrionaceae";"Desulfovibrio";NA
"08aec6a3a66c837faa2247f6920cb001";"9";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"d__Bacteria";"Bdellovibrionota";"Oligoflexia";"0319-6G20";"0319-6G20";"0319-6G20";NA
"aa1e81be1b8fe597dd1628ead7a1f129";"9";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"d__Bacteria";"Myxococcota";NA;NA;NA;NA;NA
"00ce6b5d1632433e18a311b060f0644f";"11";"8";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"d__Bacteria";"Myxococcota";"bacteriap25";"bacteriap25";"bacteriap25";"bacteriap25";NA
"914092ffc57250f368670889a8ca9882";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"7";"7";"0";"0";"0";"0";"2";"0";"2";"9";"0";"4";"0";"5";"0";"0";"0";"5";"7";"3";"0";"0";"6";"6";"d__Bacteria";"Desulfobacterota";"Desulfobulbia";"Desulfobulbales";"Desulfobulbaceae";"Desulfobulbus";NA
"4faa241c13303127991948896ab645f9";"9";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"d__Bacteria";"Desulfobacterota";"Desulfobulbia";"Desulfobulbales";"Desulfocapsaceae";"[Desulfobacterium]_catecholicum_group";NA
"43cf5efaaac1d21da43ac99bcf92e453";"14";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"d__Bacteria";"Desulfobacterota";"Desulfobulbia";"Desulfobulbales";"Desulfocapsaceae";"Desulfofustis";NA
"e244c1974660671e409db5855367ef6a";"14";"0";"0";"0";"51";"0";"0";"0";"11";"13";"36";"66";"10";"18";"14";"0";"31";"6";"25";"37";"60";"19";"35";"9";"0";"10";"11";"10";"35";"19";"9";"7";"10";"7";"d__Bacteria";"Desulfobacterota";"Desulfovibrionia";"Desulfovibrionales";"Desulfomicrobiaceae";"Desulfomicrobium";NA
"2b15e8a799d1cbd104e64f25b25618cf";"50";"22";"0";"0";"4";"0";"0";"0";"47";"119";"7";"15";"41";"29";"23";"23";"10";"8";"11";"10";"4";"0";"4";"0";"0";"0";"0";"11";"0";"0";"0";"0";"0";"0";"d__Bacteria";"Desulfobacterota";"Desulfuromonadia";"PB19";"PB19";"PB19";NA
"e9f2096bac85517be82897e1b1626ea3";"37";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"d__Bacteria";"NB1-j";"NB1-j";"NB1-j";"NB1-j";"NB1-j";NA
"8389244ef8cf290b854ee8ef642b17b4";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"d__Bacteria";"Myxococcota";"Polyangia";"Haliangiales";"Haliangiaceae";"Haliangium";NA
"c09a76f2ea0e5d9b0b1d302b0526bef2";"26";"23";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"d__Bacteria";"Myxococcota";"Polyangia";"Polyangiales";"Sandaracinaceae";"uncultured";NA
"d0f29d272868a63c490e7fa34aead636";"148";"90";"12";"0";"0";"0";"0";"0";"0";"0";"0";"0";"13";"5";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"d__Bacteria";"Myxococcota";"Polyangia";"Polyangiales";"Phaselicystidaceae";"Phaselicystis";NA
"6d2774a278abf677a73165a4bf347970";"37";"9";"0";"3";"29";"0";"0";"0";"14";"18";"29";"145";"19";"374";"17";"22";"45";"9";"4";"50";"31";"12";"0";"0";"0";"34";"22";"0";"0";"9";"45";"9";"5";"23";"d__Bacteria";"Bdellovibrionota";"Bdellovibrionia";"Bdellovibrionales";"Bdellovibrionaceae";"Bdellovibrio";NA
