;N1;N2;N3;N4;N5;N6;N7;N8;N9;N10;N11;N12;S1;S2;S3;S4;S5;S6;S7;S8;S9;S10;S11;S12;S14;S15;S16;S17;S18;S19;S20;S21;S22;Kingdom;Phylum;Class;Order;Family;Genus;Species
13b6805f123c0a25c5c3414d1a176b69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0109460516028147;0;0.00938350380031904;0.0056986551173923;0;0.00262536098713573;0.00659811953593226;0.00395908940943583;0;0;0.0068014872585472;0.0194024058983314;0;d__Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Hydrogenophilaceae;uncultured;NA
bfb5b51834ddd2ee38153073eb36d6ca;0;0;0.0953709502932301;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia;NA
8b8d4dad7273a4c4b12db12a4c11a6e6;0.0959055699004058;0.0695410292072323;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Nitrosomonadaceae;Ellin6067;NA
4a22f643f3ef1837f8bac27aa3221db2;0.676257223656707;0.548601452634832;0.23486875818482;0.363797256772037;0.400933820544052;0.0860097757452432;0.078429175653343;0;0;0.0108740566755834;0.00712276078207913;0;0.00967804374475772;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Limnobacter;NA
dfa0ff9feccab01a1267db375e69f4e6;0;0;0;0;0;0;0;0;0;0;0.00534207058655935;0;0.0112910510355507;0.0109376281753302;0.00452048911692245;0;0;0;0;0;0;0;0.00536200217161088;0;0;0;0;0;0;0;0;0;0.00456089940936353;d__Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Lautropia;NA
7a382c5d65d181188f5f9e7a285d0429;0;0;0.00854068211581165;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Alcaligenaceae;Verticiella;NA
cf7ed1749d759f6a4ae7e6c9acbfd0bb;0;0;0;0;0;0;0;0;0;0;0.024929662737277;0.297714665124548;0;0;0.0113012227923061;0.00999060882770196;0.0245402536848725;0.0197204624448443;0.0151197701794933;0.00753238927387767;0;0;0.00402150162870816;0;0.00637257244818302;0;0;0;0;0;0;0;0;d__Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Alcaligenaceae;GKS98_freshwater_group;NA
662474740a197ea075ea742fdc68fb07;0.0110660272962007;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Alcaligenaceae;Pigmentiphaga;NA
7c11c2b300adbba9be85f68ed7149e51;0.0405754334194024;0.0180291557203936;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;TRA3-20;TRA3-20;NA
48d639cc2520c3b4656161d96495359d;0.0159842616500676;0.0257559367434194;0;3.99685364534684;2.15438489646772;7.67165243659401;11.097728354948;3.38821957923399;10.9479984190616;2.48580935603836;17.4935004807864;2.55092205872904;11.2281437512098;9.84113095075333;8.38324706733269;8.81171698603313;3.07826807159619;6.24399142159884;5.51871611551504;3.08451340765291;0.9147771696638;1.37668268592518;1.85257175029156;1.42323911556873;0.317035479297105;0.269099501181412;0.208940451971188;0.877598152424942;0.393109594559949;0.346332840290054;0.507844381971524;0.521093186983757;0.346628355111628;d__Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Rhodocyclaceae;Azoarcus;NA
61ec79351e256684db245b933007c28d;0.0061477929423337;0;0;0;0;0;0;0;0;0;0;0;0.00806503645396477;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Rhodocyclaceae;Denitromonas;NA
a0ac69ece95eedd253449c219426c83e;1.30087298659781;1.32900633596044;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Rhodocyclaceae;Rhodocyclaceae;NA
5a6bc89dca189d989be619b80564ee46;1.16316242468954;1.13583681038479;0.273301827705973;2.18032545105944;0.532886723507917;0.203486542616795;0.32211982857623;0.071925813660767;0.00752827809459281;0.0173984906809334;0.154920047010221;10.1672770888218;0.177430801987225;0.340433676957152;0.528897226679927;0.923132255679661;3.5552692525959;1.02546404713191;1.72149383329373;4.39891533594456;12.3659108678655;16.0887343015692;11.8661108057749;12.8547412810577;14.9882903981265;17.3090049881859;18.5319184032551;21.5123721544045;15.5131789381158;18.207727551499;20.5450258456516;22.3155385553523;23.5342409523158;d__Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Rhodocyclaceae;Thauera;NA
ac71778c48ef3b2bbb4705d80ac8f442;0;0;0;0;0;0;0;0;0.182560743793876;6.2721558904765;0.0231489725417572;0.231317869305404;0.0403251822698239;0.118946706406716;0.0813688041046041;0.0999060882770196;0.0444792098038313;0;0.0151197701794933;0.00564929195540826;0;0;0;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Rhodocyclaceae;Dechlorobacter;NA
c634055d1c5e41d01687d8b5b5ecbe30;0;0;0;0;0;0.0713251798862993;0.0700260496904849;0;0.427229781868142;15.5542506687545;0.0445172548879946;0.726081089764184;0.0741983353764759;0.318558420606491;0.264448613339963;0.341678821907407;0.111964907437231;0.027115635861661;0;0.0188309731846942;0;0;0;0.0128219740141327;0;0.00656340246783933;0;0.00659848234905972;0;0;0;0;0;d__Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Rhodocyclaceae;Azonexus;NA
